Track,Artist,Album,URL,Genre,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Sweet Home Alabama,Lynyrd Skynyrd,Second Helping (Expanded Edition),https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg,hard-rock,0.596,0.605,-12.145,0.0255,0.181,0.000331,0.0863,0.886,97.798
Back In Black,AC/DC,Back In Black,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,hard-rock,0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386
Dragula,Rob Zombie,Hellbilly Deluxe,https://open.spotify.com/track/6Nm8h73ycDG2saCnZV8poF,hard-rock,0.591,0.963,-6.489,0.0531,8.74e-05,0.000107,0.0781,0.609,125.03
Big Poppa - 2005 Remaster,The Notorious B.I.G.,Ready to Die (The Remaster),https://open.spotify.com/track/2g8HN35AnVGIk7B8yMucww,hardcore,0.78,0.575,-7.247,0.273,0.43,0.0,0.143,0.773,84.492
Hypnotize - 2014 Remaster,The Notorious B.I.G.,Life After Death (2014 Remastered Edition),https://open.spotify.com/track/7KwZNVEaqikRSBSpyhXK2j,hardcore,0.901,0.697,-3.439,0.28,0.145,0.0,0.287,0.67,93.941
Savior,Rise Against,Appeal To Reason,https://open.spotify.com/track/1vcxF91pWs9uNwDROuiCPB,hardcore,0.554,0.932,-3.424,0.0485,0.00154,0.000142,0.425,0.478,112.49
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],https://open.spotify.com/track/119c93MHjrDLJTApCVGpvx,hardcore,0.479,0.549,-10.551,0.373,0.57,0.0235,0.127,0.576,180.985
Regulate,Warren G,Regulate… G Funk Era,https://open.spotify.com/track/7nYvUtkQMx1v80S2FH2s9J,hardcore,0.849,0.521,-12.999,0.216,0.304,1.65e-06,0.115,0.763,95.265
Prayer Of The Refugee,Rise Against,The Sufferer & The Witness,https://open.spotify.com/track/4OSbctVD37ycS0H3rwRm72,hardcore,0.2,0.977,-3.494,0.159,0.00165,1.1e-05,0.259,0.39,195.711
Juicy - 2005 Remaster,The Notorious B.I.G.,Ready to Die (The Remaster),https://open.spotify.com/track/5ByAIlEEnxYdvpnezg7HTX,hardcore,0.889,0.818,-4.639,0.253,0.47,0.0,0.179,0.782,96.063
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,The Notorious B.I.G.,Life After Death (2014 Remastered Edition),https://open.spotify.com/track/4INDiWSKvqSKDEu7mh8HFz,hardcore,0.845,0.884,-4.506,0.0759,0.0128,2.1e-06,0.203,0.904,104.536
MakeDamnSure,Taking Back Sunday,Louder Now (Deluxe Edition),https://open.spotify.com/track/6fTgbkBiMITtHUmik95ClX,hardcore,0.552,0.836,-5.608,0.0453,0.00942,0.0,0.372,0.432,140.496
"Shook Ones, Pt. II",Mobb Deep,The Infamous,https://open.spotify.com/track/33ZXjLCpiINn8eQIDYEPTD,hardcore,0.763,0.786,-6.472,0.229,0.0146,0.0114,0.0817,0.504,93.857
My Soldiers Rage,Maul,My Soldiers Rage,https://open.spotify.com/track/2uO6LTp2vi4VlgEH9Gaj3R,hardstyle,0.287,0.716,-6.263,0.237,0.444,0.0,0.329,0.669,170.104
